TEAM,GAME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,ELO
8,72,41,87,0.471,7,21,0.333,14,19,0.737,11,26,37,29,11,5,11,17,1694
8,73,28,80,0.35,4,20,0.2,16,23,0.696,15,35,50,14,7,7,14,15,1683
8,74,38,97,0.392,4,14,0.286,4,6,0.667,18,24,42,22,8,4,10,21,1669
8,75,34,72,0.472,5,13,0.385,31,36,0.861,10,31,41,15,13,3,20,20,1672
8,76,34,86,0.395,7,18,0.389,18,21,0.857,11,31,42,20,11,4,10,21,1676
8,77,33,78,0.423,5,20,0.25,17,29,0.586,9,29,38,21,7,3,10,24,1676
8,78,47,92,0.511,6,19,0.316,22,29,0.759,12,38,50,21,11,4,6,15,1678
8,79,37,87,0.425,5,24,0.208,37,46,0.804,18,33,51,21,9,2,11,25,1686
8,80,38,85,0.447,7,18,0.389,15,20,0.75,14,25,39,19,2,1,11,31,1677
8,81,38,84,0.452,3,15,0.2,13,16,0.813,9,38,47,20,13,4,10,21,1678
8,82,48,86,0.558,8,13,0.615,21,24,0.875,7,23,30,39,11,8,16,31,1682
9,1,43,79,0.544,8,16,0.5,26,32,0.813,5,31,36,25,8,5,8,20,1506
9,2,33,71,0.465,7,20,0.35,11,13,0.846,7,34,41,18,4,5,21,18,1494
9,3,43,83,0.518,10,25,0.4,23,27,0.852,7,25,32,26,9,8,8,16,1496
9,4,47,86,0.547,15,26,0.577,15,19,0.789,7,42,49,33,7,4,15,22,1507
9,5,40,77,0.519,10,24,0.417,13,16,0.813,8,32,40,25,8,5,12,18,1520
9,6,37,76,0.487,7,22,0.318,14,16,0.875,8,28,36,22,8,2,14,22,1530
9,7,30,79,0.38,4,15,0.267,22,36,0.611,15,28,43,18,8,6,13,16,1518
9,8,45,89,0.506,10,21,0.476,13,20,0.65,13,31,44,26,4,4,11,24,1525
9,9,35,77,0.455,9,21,0.429,21,29,0.724,11,25,36,22,11,6,19,25,1518
9,10,36,77,0.468,13,27,0.481,13,16,0.813,5,24,29,24,5,9,11,14,1527
9,11,38,71,0.535,8,19,0.421,13,19,0.684,4,32,36,20,10,3,19,21,1535
9,12,41,86,0.477,8,18,0.444,23,33,0.697,12,42,54,25,7,4,15,13,1540
9,13,36,69,0.522,9,19,0.474,29,37,0.784,9,30,39,21,5,5,18,25,1540
